10,9,10,9,7,1
10,9,10,9,7,1
10,9,10,9,7,1
9,9,10,9,7,1
10,9,9,9,6,1
9,9,10,9,7,1
10,9,9,9,6,1
9,9,9,9,6,2
9,9,9,8,6,1
9,8,8,8,6,2
8,8,8,8,6,2
8,8,8,8,6,2
8,8,8,8,6,1
9,8,9,9,6,1
9,9,9,9,6,1
9,9,9,9,6,1
9,9,9,9,6,1
9,9,9,9,6,1
9,9,9,8,6,1
9,8,9,8,6,1
9,8,8,8,6,3
8,8,8,8,6,4
8,7,7,7,5,15
7,7,7,6,5,7
7,7,7,7,5,4
7,7,7,7,5,5
7,7,7,7,5,4
8,7,7,7,5,2
7,7,7,7,5,1
7,7,7,7,5,3
6,6,7,6,5,4
7,6,6,6,4,4
6,6,6,6,4,3
6,6,6,6,4,2
6,6,6,5,4,3
6,6,6,6,4,2
6,6,6,6,4,2
6,6,6,6,4,2
6,5,5,5,4,3
5,6,6,6,4,3
6,6,6,6,4,2
6,6,6,6,4,3
6,5,5,5,4,3
6,6,6,6,4,2
6,6,6,6,4,1
6,6,6,6,4,1
6,6,5,5,4,2
5,5,5,5,4,2
5,5,5,5,4,1
5,5,5,5,4,2
6,6,5,5,4,2
5,5,5,5,3,2
5,5,5,5,3,2
5,5,5,5,4,1
5,5,6,5,4,2
6,5,5,5,3,4
5,5,4,4,3,4
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,3,3,3,2,4
3,3,3,3,2,3
4,4,3,3,2,3
3,3,3,4,3,2
4,4,4,4,3,3
4,4,4,4,3,1
4,4,4,4,3,2
5,5,5,5,3,2
5,5,5,5,3,2
5,4,4,4,3,2
4,4,4,4,3,2
4,4,3,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
5,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
5,4,4,4,3,2
4,4,5,4,3,2
4,4,5,4,3,1
5,5,5,4,3,2
5,5,5,5,3,3
5,5,5,5,4,1
5,5,5,5,4,2
5,5,5,5,4,2
5,5,5,5,3,2
5,5,5,5,3,2
5,5,5,5,4,2
5,5,5,5,4,2
5,5,5,5,3,3
5,5,5,5,3,2
5,5,5,5,3,3
5,5,4,4,3,6
4,4,4,4,3,5
4,4,4,4,3,3
4,4,4,4,3,3
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,4
4,4,4,4,3,3
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,3
4,4,4,4,3,3
4,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,2
3,3,4,3,2,2
3,3,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,0
4,4,4,4,3,0
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,0
4,4,4,4,3,0
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
3,3,3,3,3,2
4,4,3,3,2,1
3,3,3,3,2,1
3,3,3,4,3,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,2
3,3,3,3,2,2
3,3,2,2,2,2
3,2,3,3,2,1
3,3,3,3,2,2
3,3,3,2,2,2
2,2,3,3,2,2
3,3,3,3,2,3
3,3,3,3,2,2
3,3,4,3,2,2
4,3,4,3,2,2
3,4,4,4,3,3
4,4,4,4,3,3
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,2
4,3,4,4,3,1
4,3,4,3,2,1
3,3,4,3,2,1
3,3,4,3,3,1
3,3,4,4,3,1
4,4,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,3,3,1
4,3,4,4,3,1
4,3,4,3,2,1
3,3,3,3,2,3
3,3,3,3,2,5
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,3
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,0
3,3,3,3,2,0
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,3
3,3,3,3,2,3
3,3,4,3,2,2
4,3,4,3,3,2
4,3,4,3,2,1
3,3,4,3,2,2
3,3,4,3,2,1
4,4,4,4,3,2
4,4,4,4,3,4
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,2
4,4,5,4,3,2
4,4,5,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
5,5,5,4,3,4
5,4,5,4,3,0
5,5,5,5,3,3
5,5,5,5,3,2
5,5,5,5,3,1
5,5,5,5,3,1
5,5,4,5,3,9
4,4,4,4,3,3
4,4,4,4,3,0
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,0
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,5,4,3,1
4,4,5,4,3,3
4,4,4,4,3,2
5,5,5,4,3,1
5,5,5,5,3,1
5,4,5,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,5,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,3,3,3,1
3,3,4,3,2,1
4,3,4,3,3,1
3,3,4,3,3,1
3,3,3,3,2,1
3,3,3,3,2,2
3,4,4,3,2,2
4,4,4,4,3,1
4,3,4,4,3,2
4,4,4,4,3,1
4,3,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,3,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,2
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,3,4,3,3,1
4,3,4,3,2,2
4,4,4,4,3,1
4,4,4,4,3,1
4,3,4,4,3,1
4,3,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,4,4,4,3,1
4,3,3,4,3,2
3,3,3,3,2,3
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,1
3,2,3,3,2,2
3,2,3,3,2,1
3,3,3,3,2,1
3,2,3,3,2,1
3,2,3,3,2,1
3,2,3,3,2,2
2,2,2,2,2,3
2,2,2,2,2,4
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,5
3,3,3,3,2,4
3,3,3,3,2,3
3,3,3,3,2,3
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,1
3,3,3,3,2,2
3,3,3,2,2,2
3,2,3,3,2,1
3,3,3,3,2,2
3,3,3,3,2,1
3,3,3,3,2,1
3,2,2,3,2,2
2,2,2,2,2,1
2,2,3,2,2,1
2,2,3,2,2,1
2,2,3,2,2,1
2,2,3,2,2,1
3,2,3,2,2,1
3,2,3,3,2,1
2,2,3,2,2,1
3,2,3,3,2,2
3,2,3,3,2,1
3,2,3,3,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,5
3,3,3,3,2,3
3,3,3,3,2,1
3,3,3,3,2,1
3,2,3,3,2,1
3,2,3,3,2,0
2,3,3,2,2,1
3,2,3,3,2,1
3,2,3,3,2,1
3,2,3,3,2,1
3,2,3,3,2,0
3,3,2,3,2,1
2,2,2,2,2,2
2,2,2,2,2,4
2,2,2,2,2,4
2,2,3,2,2,4
2,2,3,2,2,4
2,2,3,2,2,4
2,2,2,2,2,2
2,2,2,2,2,6
2,2,2,2,2,15
2,2,2,2,2,6
2,2,2,2,2,5
2,2,2,2,1,7
2,2,2,2,1,6
2,2,2,2,1,5
2,2,2,2,1,6
2,2,2,2,1,6
2,2,2,2,1,8
2,2,2,2,1,15
2,2,2,2,1,6
1,1,1,1,1,9
1,1,1,1,1,6
1,1,1,1,1,2
1,1,1,1,1,4
1,1,1,1,1,1
1,1,2,2,1,9
2,2,1,1,1,6
1,1,1,1,1,2
1,1,1,1,1,4
1,1,1,1,1,6
1,1,1,1,1,5
1,1,1,1,1,7
1,1,1,1,1,8
1,1,1,1,1,4
1,1,1,1,1,6
1,1,1,1,1,4
1,1,1,1,1,3
1,1,1,1,1,3
1,0,1,1,0,5
1,1,1,1,1,1
1,1,1,1,1,7
1,1,1,1,1,7
1,1,1,1,1,4
1,1,1,1,1,10
1,1,1,1,1,9
1,1,1,1,1,6
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,6
1,1,1,1,1,5
1,1,1,1,1,4
1,1,1,1,1,4
1,1,1,1,1,4
1,1,1,1,1,11
1,1,1,1,1,32
1,1,1,1,1,3
1,1,1,1,1,2
1,1,1,1,1,3
1,1,1,1,1,3
1,1,1,1,1,3
1,1,1,1,1,4
1,1,1,1,1,3
1,1,1,1,1,5
1,1,1,1,1,6
1,1,1,1,1,3
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,3
1,1,1,1,1,3
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,3
1,1,1,2,1,9
2,2,2,2,1,6
2,2,2,2,1,6
1,2,1,2,1,2
2,2,2,2,1,3
2,2,2,2,1,4
2,1,2,2,1,4
2,1,2,2,1,0
2,1,2,2,1,0
2,2,2,2,1,5
2,2,2,2,2,6
2,2,2,2,2,6
2,2,2,2,2,7
2,2,2,2,2,0
2,2,2,2,2,4
2,2,2,2,2,5
2,2,2,2,1,5
2,2,2,2,2,4
2,2,2,2,2,5
2,2,2,2,2,0
2,2,2,2,1,2
2,2,2,2,2,4
2,2,2,2,2,3
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,3
2,2,2,2,1,2
2,2,2,2,2,1
2,2,2,2,1,3
2,2,2,2,1,3
2,1,2,2,1,3
2,2,2,2,1,2
2,2,2,2,1,2
2,2,2,2,1,1
2,2,2,2,1,3
2,2,2,2,1,2
2,2,2,2,1,2
2,2,2,2,2,3
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,2,1
2,2,2,2,1,2
2,2,2,2,1,1
2,2,2,2,1,3
2,2,2,2,1,1
2,2,2,2,1,1
2,2,2,1,1,4
2,1,2,2,1,2
2,1,2,2,1,2
2,1,2,1,1,3
2,1,2,2,1,2
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,3
1,1,1,1,1,2
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,4
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,3
1,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,1
1,1,1,1,1,2
1,1,1,1,1,3
1,1,1,1,1,2
1,1,1,1,1,5
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,2
1,1,1,1,1,2
1,1,1,1,1,11
1,1,2,1,1,3
2,2,2,2,1,13
2,2,2,2,1,2
2,2,2,2,1,3
2,2,2,2,1,1
2,2,2,2,1,1
2,2,2,2,1,1
2,2,2,2,1,2
2,2,2,2,1,1
2,2,2,2,1,0
2,1,2,2,1,1
2,1,2,2,1,2
2,1,2,2,1,1
2,1,2,1,1,1
1,1,2,1,1,2
1,1,1,1,1,3
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,2,2,1,2
2,2,2,2,1,2
2,2,2,2,1,1
2,1,2,2,1,0
2,1,2,2,1,1
2,1,2,1,1,1
1,1,2,1,1,1
1,1,2,2,1,1
1,1,2,2,1,1
2,1,2,2,1,2
2,1,2,2,1,1
2,1,2,2,1,0
2,1,2,2,1,0
2,1,2,2,1,0
2,1,2,2,1,0
2,1,2,2,1,0
2,1,2,2,1,0
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,0
1,1,1,1,1,1
1,1,1,1,1,3
1,1,1,1,1,5
1,1,1,1,1,1
1,1,1,1,1,2
1,1,2,1,1,2
1,1,2,1,1,4
1,1,1,1,1,1
1,1,1,1,1,5
1,1,1,1,1,0
1,1,1,1,1,1
1,1,1,1,1,1
1,1,2,2,1,2
2,1,2,2,1,5
2,2,2,2,1,2
2,2,2,2,1,6
2,2,2,2,1,1
2,2,2,2,1,4
2,2,2,2,1,2
2,2,2,2,2,4
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,1,1
2,2,2,2,2,2
2,2,2,2,2,10
2,2,2,2,2,2
2,2,2,2,2,5
2,2,2,2,2,1
2,2,2,2,2,2
2,2,2,2,1,6
2,2,2,2,1,4
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,1
2,2,2,2,2,4
2,2,2,2,2,5
2,2,2,2,1,5
2,2,2,2,1,4
2,2,2,2,1,0
2,2,2,2,1,0
2,2,2,2,1,3
2,2,2,2,1,3
2,2,2,2,2,4
2,2,2,2,2,0
2,2,2,2,2,2
2,2,2,2,1,1
2,2,2,2,2,1
2,2,2,2,2,0
2,2,2,2,2,4
2,2,3,3,2,4
3,2,3,2,2,3
2,2,3,2,2,2
