TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
9343,6.27E+14,6.27E+14,0,9.6E+14,8.5E+14,4.46E+14,0,14,20,268,654,2216
8405,5.66E+14,5.66E+14,0,1.13E+14,1.9E+14,4.34E+14,0,15,4,257,621,2154
8223,5.52E+14,5.52E+14,0,8E+14,1.51E+14,3.21E+14,0,12,37,257,551,2178
10067,6.76E+14,6.76E+14,0,3.6E+14,1.42E+14,4.97E+14,0,5,39,313,578,2308
8359,5.63E+14,5.63E+14,0,2.3E+14,5.3E+14,4.87E+14,0,3,14,311,638,2201
10946,7.35E+14,7.35E+14,0,5.4E+14,2.09E+14,4.72E+14,0,8,51,308,569,2341
9130,6.15E+14,6.15E+14,0,5,3.8E+14,5.27E+14,0,7,11,304,668,2236
6544,4.41E+14,4.41E+14,0,2.9E+13,2.6E+14,3.86E+14,0,4,6,276,1132,2069
0,0,0,0,0,0,0,0,0,0,0,1440,0
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,1440,1878
0,0,0,0,0,0,0,0,0,0,0,994,1296
2303,1.55E+14,1.55E+14,0,0,0,1.55E+14,0,0,0,155,807,2010
2600,1.74E+14,1.74E+14,0,0,0,1.74E+14,0,0,0,163,1277,2032
4804,3.22E+14,3.22E+14,0,0,0,3.22E+14,0,0,0,238,786,2227
3271,2.19E+14,2.19E+14,0,0,0,2.19E+14,0,0,0,205,898,2133
5406,3.63E+14,3.63E+14,0,0,0,3.61E+14,0,0,0,273,672,2317
3146,2.11E+14,2.11E+14,0,0,0,2.11E+14,0,0,0,171,1269,2058
2422,1.63E+14,1.63E+14,0,0,0,1.63E+14,0,0,0,110,1330,1935
4239,2.84E+14,2.84E+14,0,6E+14,2.4E+14,2.53E+14,0,1,6,235,702,2217
6911,4.78E+14,4.78E+14,0,2.32E+13,1E+14,2.36E+14,0,28,2,215,745,2374
6667,4.61E+13,4.61E+13,0,2.02E+14,5E+14,2.55E+14,0,24,1,208,939,2335
5543,3.72E+14,3.72E+14,0,0,0,3.72E+14,0,0,0,266,941,2303
4195,2.81E+14,2.81E+14,0,0,0,2.81E+14,0,0,0,239,758,2210
6625,4.45E+14,4.45E+14,0,0,0,4.45E+14,0,0,0,316,755,2424
5986,4.13E+14,4.13E+14,0,1.95E+14,2.3E+14,1.95E+14,0,23,5,195,789,2297
278,1.9E+14,1.9E+14,0,0,0,1.9E+14,0,0,0,20,253,745
5336,3.53E+14,3.53E+14,0,0,0,3.53E+14,0,0,0,258,1182,1902
3183,2.1E+14,2.1E+14,0,0,0,2.1E+14,0,0,0,173,1180,1680
6176,4.08E+14,4.08E+14,0,7E+14,2.6E+14,375,0,1,7,269,886,1901
8205,5.42E+14,5.42E+14,0,0,0,5.42E+14,0,0,0,367,1073,2078
6799,4.49E+14,4.49E+14,0,1.59E+13,8.6E+14,2.04E+14,0,24,14,185,1217,1876
5668,375,375,0,0,0,375,0,0,0,259,1181,1853
7998,5.29E+14,5.29E+14,0,5.1E+14,25,4.53E+14,0,27,12,296,1105,2235
4195,2.77E+14,2.77E+14,0,0,0,2.77E+14,0,0,0,241,1199,1778
5512,3.64E+14,3.64E+14,0,0,0,3.64E+14,0,0,0,276,1164,1882
6263,4.14E+13,4.14E+13,0,0,0,4.13E+14,0,0,0,290,1150,1906
8828,5.84E+14,5.84E+14,0,0,0,5.84E+14,0,0,0,308,1132,2149
1260,8.3E+14,8.3E+14,0,0,0,8.2E+14,0,0,0,76,555,722
6506,5.28E+14,5.28E+14,0,3.3E+14,2.7E+14,4.67E+14,0,4,5,241,760,2886
7583,6.15E+14,6.15E+14,0,25,5.5E+14,5.35E+14,0,3,13,227,742,2915
6963,5.65E+14,5.65E+14,0,0,0,5.65E+14,0,0,0,256,759,2895
7165,5.81E+14,5.81E+14,0,0,3.7E+14,5.44E+14,0,0,9,248,708,2923
10328,8.38E+14,8.38E+14,0,0,1.46E+14,6.92E+14,0,0,32,367,475,3323
12116,9.83E+14,9.83E+14,0,25,2.85E+14,6.72E+14,0,3,57,323,471,3357
7810,6.36E+13,6.36E+13,0,4.8E+14,1.2E+14,4.68E+14,0,6,27,216,746,2931
6670,5.41E+14,5.41E+14,0,1.24E+14,8E+14,3.37E+14,0,15,16,199,770,2848
7605,6.18E+14,6.18E+14,0,3.3E+14,2.1E+14,5.63E+14,0,4,4,248,708,2943
6585,5.34E+14,5.34E+14,0,0,0,5.34E+14,0,0,0,210,770,2822
8184,6.64E+13,6.64E+13,0,0,6.2E+14,5.95E+14,0,0,15,247,808,2981
14002,1.136E+14,1.136E+14,0,6.1E+14,2.68E+13,8.06E+13,0,8,56,381,407,3597
11135,9.03E+14,9.03E+14,0,8E+14,1.16E+13,7.79E+14,0,1,25,331,528,3224
6499,5.27E+14,5.27E+14,0,0,0,5.27E+14,0,0,0,207,809,2677
0,0,0,0,0,0,0,0,0,0,0,1440,0
12409,8.1E+14,8.1E+14,0,2.9E+14,6.3E+14,4.58E+14,0,51,12,235,782,2142
2937,1.92E+14,1.92E+14,0,0,0,1.91E+13,0,0,0,181,356,1615
1515,9.9E+14,9.9E+14,0,0,0,9.9E+14,0,0,0,93,507,1481
8921,5.88E+14,5.88E+14,0,2.07E+13,4.4E+14,3.36E+14,0,27,8,198,754,1892
11306,7.38E+14,7.38E+14,0,2.31E+14,9.8E+14,4.09E+14,0,40,26,218,772,2086
12252,8,8,0,2.41E+14,1.7E+14,3.89E+14,0,33,28,229,745,2044
15444,1.008E+14,1.008E+14,0,3.27E+14,1.73E+14,5.08E+14,0,51,39,243,731,2249
9938,6.49E+14,6.49E+14,0,2.14E+14,1.28E+14,3.08E+14,0,38,24,193,767,2019
4599,3,3,0,0,0,3,0,0,0,176,578,1692
5594,3.65E+14,3.65E+14,0,2.8E+14,1.48E+14,1.89E+14,0,4,25,150,552,1712
11906,7.77E+14,7.77E+14,0,2.26E+14,1.52E+14,3.99E+14,0,32,27,234,688,2065
3436,2.24E+14,2.24E+14,0,5,6.7E+14,1.05E+14,0,7,11,50,61,633
10461,7.87E+14,7.87E+14,0,4.76E+14,8.5E+14,225,0,99,31,142,721,3625
14873,1.111E+14,1.111E+14,0,8.19E+13,6E+14,2.31E+14,0,202,36,153,663,4430
9917,7.41E+14,7.41E+14,0,1.99E+14,9.7E+14,4.44E+14,0,58,27,240,700,3427
7401,5.56E+14,5.56E+14,0,2.32E+13,3.6E+14,2.88E+14,0,70,19,204,689,3492
8964,6.7E+14,6.7E+14,0,3.97E+14,1.9E+14,2.53E+14,0,107,18,145,756,3597
11080,8.3E+14,8.3E+14,0,3.13E+14,1.37E+14,3.81E+14,0,83,52,190,695,3765
4499,3.36E+14,3.36E+14,0,8.9E+14,2.6E+14,2.21E+14,0,31,11,146,756,2775
4363,3.26E+14,3.26E+14,0,1.3E+14,6E+14,3.08E+14,0,8,2,156,813,2486
10494,7.84E+14,7.84E+14,0,4.91E+14,7.8E+14,2.15E+14,0,123,62,138,601,3817
9776,7.38E+14,7.38E+14,0,2.93E+13,1.43E+14,3.02E+14,0,80,35,162,721,3378
2862,2.14E+14,2.14E+14,0,1.04E+14,25,8.4E+14,0,39,17,54,209,1511
7444,5.62E+14,5.62E+14,0,0,0,5.62E+14,0,0,0,286,568,2210
19658,1.484E+14,1.484E+14,0,2.4E+14,2.09E+14,1.251E+14,0,3,30,475,466,2884
0,0,0,0,0,0,0,0,0,0,0,1440,1496
8468,6.39E+13,6.39E+13,0,1.8E+14,6.4E+14,5.57E+14,0,2,11,279,1148,2262
9910,7.48E+14,7.48E+14,0,0,0,7.48E+14,0,0,0,384,990,2445
12409,9.37E+14,9.37E+14,0,0,0,9.37E+14,0,0,0,491,388,2694
4853,3.66E+14,3.66E+14,0,0,0,3.66E+14,0,0,0,156,770,1903
8955,6.76E+14,6.76E+14,0,0,0,6.73E+14,0,0,0,422,1018,2482
10789,8.15E+14,8.15E+14,0,0,0,8.15E+14,0,0,0,506,413,2617
0,0,0,0,0,0,0,0,0,0,0,1440,0
6633,5.01E+14,5.01E+14,0,0,0,5.01E+14,0,0,0,280,1160,2778
9548,7.22E+14,7.22E+14,0,2.02E+14,3.68E+13,1.52E+14,0,25,107,113,1195,3119
0,0,0,0,0,0,0,0,33,0,0,1407,2664
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,0,0,0,1440,2060
0,0,0,0,0,0,0,0,20,0,0,494,735
0,0,0,0,0,0,0,0,0,0,0,1440,1820
2101,2.03E+14,0,2.02777E+14,2.03E+14,0,0,0,46,0,0,1394,2224
0,0,0,0,0,0,0,0,0,0,0,1440,1820
0,0,0,0,0,0,0,0,0,0,0,1440,1820
9766,7.51E+14,7.8E+14,6.72706E+14,0,5E+14,7.46E+14,0,0,6,301,1133,2442
165,1.3E+14,1.3E+14,0,0,0,1.3E+14,0,0,0,8,1432,1849
0,0,0,0,0,0,0,0,0,0,0,1440,1822
0,0,0,0,0,0,0,0,0,0,0,1440,1820
0,0,0,0,0,0,0,0,0,0,0,198,251
7225,5.18E+14,5.18E+14,0,1.73E+14,1.27E+14,2.18E+13,0,25,50,163,1189,3065
1988,1.43E+14,1.43E+14,0,0,0,1.43E+14,0,0,0,79,909,2207
1577,1.13E+14,1.13E+14,0,7E+14,8.9E+14,1.7E+14,0,1,17,8,1414,1977
0,0,0,0,0,0,0,0,0,0,0,1440,1841
9348,6.7E+14,6.7E+14,0,1.13E+14,2.04E+14,3.14E+14,0,56,133,240,1011,4286
11761,8.43E+14,8.43E+14,0,1.31E+14,2.44E+14,4.68E+14,0,24,99,300,550,3920
13987,1.003E+14,1.003E+14,0,2.87E+14,3.34E+14,3.82E+13,0,46,114,250,739,3856
4131,2.96E+14,2.96E+14,0,1.37E+14,6.1E+14,9.8E+14,0,27,30,75,1308,2584
14,1E+15,1E+15,0,0,0,1E+15,0,0,0,1,601,787
15491,1.024E+14,1.024E+14,0,1.29E+14,4.49E+14,4.46E+14,0,18,77,272,641,2244
14097,9.32E+14,9.32E+14,0,35,1.92E+14,3.9E+14,0,50,32,234,595,2188
10467,6.98E+14,6.98E+14,0,7E+14,2.43E+13,3.85E+14,0,9,45,252,602,2014
12437,8.3E+14,8.3E+14,0,3.76E+14,1.29E+14,3.24E+14,0,50,24,219,732,2115
12307,8.14E+14,8.14E+14,0,1.01E+14,3.26E+14,3.87E+14,0,14,51,218,589,2055
18952,1.28E+14,1.28E+14,0,5.91E+14,1.23E+14,5.66E+14,0,73,20,327,570,2437
12010,7.94E+14,7.94E+14,0,2.38E+14,9.5E+14,4.61E+13,0,38,17,287,692,2158
12480,8.86E+14,825,3.9728E+14,4.18E+14,6.9E+14,4,0,55,14,276,593,2170
13417,9.65E+14,8.87E+14,1.9263E+14,3.39E+14,125,4.91E+14,1E+14,45,16,284,665,2244
14400,1.088E+14,9.52E+14,5.45686E+14,2.47E+14,2.88E+14,5.53E+14,0,27,37,276,697,2188
12495,8.26E+14,8.26E+14,0,2.21E+14,1.09E+13,4.96E+14,0,33,19,324,609,2231
10148,6.71E+14,6.71E+14,0,1.36E+14,2.2E+14,5.13E+14,0,19,7,306,679,2100
12362,9.09E+14,8.17E+14,2.69646E+14,1.09E+13,2.73E+14,5.27E+14,0,21,38,297,678,2188
5893,3.9E+14,3.9E+14,0,2.88E+14,5.6E+14,4.6E+13,0,43,9,48,146,917
11680,9.06E+13,7.81E+14,4.90128E+12,4.49E+14,3.3E+14,4.24E+14,0,50,7,244,1139,2573
10976,7.34E+14,7.34E+14,0,5.5E+14,6.7E+14,6.13E+14,0,9,16,271,1075,2575
16806,1.124E+14,1.124E+14,0,6.41E+14,1.37E+14,3.47E+14,0,104,31,230,1002,3086
15266,1.14E+14,1.021E+13,5.18985E+14,5.8E+14,7.6E+14,4.79E+14,5E+14,70,21,292,1057,2886
12084,9.14E+14,8.08E+14,4.83638E+14,4.39E+13,4.6E+13,4.29E+14,0,50,6,284,1030,2676
13513,1025,9.07E+14,4.83572E+14,5.35E+14,3.3E+14,4.56E+14,0,64,8,270,1098,2811
14100,1.058E+14,9.43E+14,4.87599E+14,5.1E+14,1.19E+14,4.28E+14,0,61,33,265,1015,2840
12627,9.65E+14,8.45E+14,4.84232E+14,4.7E+14,7.4E+14,4.21E+14,0,54,22,301,1063,2871
10345,6.92E+14,6.92E+14,0,7E+14,2.7E+14,6.58E+14,0,2,6,358,1074,2613
10146,6.79E+14,6.79E+14,0,7E+14,6.1E+14,6.11E+13,0,1,12,397,1030,2700
12168,8.14E+14,8.14E+14,0,1.05E+14,7.9E+14,6.29E+14,0,18,27,375,1020,2871
7413,5.77E+14,4.96E+14,4.86978E+13,45,3.4E+14,9.4E+14,0,53,6,43,405,1023
11463,7.67E+14,7.67E+14,0,2.83E+14,1.89E+14,2.93E+13,0,38,30,154,777,2496
87,2E+14,2E+14,0,0,0,1E+15,0,0,0,2,872,1641
1949,1.31E+14,1.31E+14,0,2.3E+14,3.5E+14,7.3E+14,0,3,6,27,1404,1794
6101,3.87E+14,3.87E+14,0,5.3E+14,2.3E+14,3.1E+14,0,31,24,138,1247,2421
7478,4.99E+14,4.99E+14,0,1.8E+14,5.3E+14,2.61E+14,3E+14,25,33,132,1159,2439
7352,4.73E+14,4.73E+14,0,1.41E+13,7.8E+14,2.53E+14,0,19,14,124,814,2233
14604,1.082E+14,1.082E+14,0,7.23E+14,1.12E+14,2.43E+13,3E+14,76,30,127,695,2862
9634,6.52E+14,6.52E+14,0,25,1.4E+14,2.59E+14,0,50,48,140,797,2752
7338,4.67E+14,4.67E+14,0,1.08E+14,1.3E+14,3.46E+14,0,27,5,204,717,2519
569,3.5E+14,3.5E+14,0,0,0,3.4E+14,0,0,0,27,1368,1799
6242,3.92E+14,3.92E+14,0,7.4E+14,2.3E+14,2.93E+13,0,46,22,126,741,2543
430,2.6E+14,2.6E+14,0,0,0,2.6E+14,0,0,0,14,75,625
20188,1.562E+14,1.562E+14,0,1.206E+14,8.5E+14,2.71E+14,0,124,19,172,1125,3377
25701,2.014E+14,2.014E+14,0,1.682E+14,1.63E+14,1.69E+14,0,165,36,97,1142,3697
17395,1.321E+13,1.321E+13,0,9.67E+14,1.8E+14,3.35E+14,0,100,4,213,1123,3209
17167,1.341E+14,1.341E+14,0,9.96E+14,3.1E+14,3.14E+14,0,98,8,184,1150,3167
16435,1.242E+14,1.242E+14,0,8.96E+14,5.5E+14,2.91E+14,0,100,14,191,1135,3122
17078,1.32E+14,1.32E+14,0,9.97E+14,2.4E+14,2.99E+14,0,101,6,190,1143,3176
11693,9.54E+14,9.54E+14,0,6.77E+14,2.6E+14,25,0,60,6,153,1221,2790
11159,9.14E+14,9.14E+14,0,6.69E+14,25,2.19E+14,0,59,6,120,1255,2715
10118,7.73E+14,7.73E+14,0,3.05E+14,8E+14,3.88E+14,0,30,18,207,1185,2684
16064,1.272E+14,1.272E+14,0,9.98E+14,3.6E+14,2.38E+14,0,96,8,155,1181,3097
290,2.1E+14,2.1E+14,0,0,0,2.1E+14,0,0,0,16,599,791
0,0,0,0,0,0,0,0,0,0,0,1440,1429
0,0,0,0,0,0,0,0,0,0,0,1440,1429
0,0,0,0,0,0,0,0,0,0,0,1440,1429
0,0,0,0,0,0,0,0,0,0,0,1440,1429
0,0,0,0,0,0,0,0,0,0,0,1440,1429
1931,1.28E+14,1.28E+14,0,0,0,1.28E+14,0,0,0,94,1346,1607
5181,3.42E+14,3.42E+14,0,1,9.1E+14,1.51E+14,1E+15,15,15,107,1303,1776
12026,9.15E+14,9.15E+14,0,5.7E+14,9.3E+14,2.51E+14,0,47,13,150,1230,2162
5360,3.54E+14,3.54E+14,0,5.4E+14,1.55E+14,1.46E+14,0,8,28,148,1256,1832
2545,1.68E+14,1.68E+14,0,0,0,1.67E+14,2E+14,0,0,126,1314,1657
1636,1.08E+14,1.08E+14,0,0,0,1.08E+14,0,0,0,86,1139,1377
0,0,0,0,0,0,0,0,0,0,0,1440,0
14179,1.124E+14,1.124E+14,0,6.23E+14,1.06E+14,3.96E+14,0,73,21,195,719,3669
3358,2.66E+14,2.66E+14,0,0,0,2.66E+14,0,0,0,144,657,2702
9152,7.26E+14,7.26E+14,0,1.99E+14,8.2E+14,4.45E+14,0,25,13,243,600,3304
13935,1.105E+14,1.105E+14,2.09215E+13,4.09E+14,7.9E+14,6.17E+14,0,105,16,220,658,4234
12846,1.019E+14,1.019E+14,2.25308E+14,5,75,4.44E+14,0,113,15,189,686,4128
9124,7.24E+14,7.24E+14,2.09215E+13,0,25,6.99E+14,0,55,6,230,728,3798
9725,7.71E+14,7.71E+14,2.25308E+14,2.41E+14,5.3E+14,4.77E+14,0,83,11,181,670,3839
8350,6.62E+14,6.62E+14,2.09215E+13,1.49E+14,5.3E+14,4.61E+13,0,72,10,167,868,3713
2240,1.78E+14,1.78E+14,0,0,0,1.78E+14,0,0,0,110,843,2606
2631,2.09E+14,2.09E+14,0,0,0,2.09E+14,0,0,0,117,727,2624
8837,7.01E+14,7.01E+14,2.09215E+13,1.54E+14,8.8E+14,4.59E+14,0,74,17,182,811,3775
3246,2.57E+13,2.57E+13,2.25308E+14,8.3E+14,7.1E+14,1.03E+14,0,65,15,49,243,1882
2174,1.7E+14,1.7E+14,0,0,0,1.7E+14,0,0,0,112,1328,2360
3494,2.73E+14,2.73E+14,0,0,0,2.69E+14,0,0,0,166,1274,2517
2380,1.86E+14,1.86E+14,0,0,0,1.86E+14,0,0,0,131,1309,2400
3159,2.46E+14,2.46E+14,0,0,0,2.46E+14,0,0,0,147,1293,2462
6835,5.33E+14,5.33E+14,0,3.7E+14,7.3E+14,4.24E+14,0,5,15,212,1208,2786
2098,1.64E+14,1.64E+14,0,0,0,1.63E+14,0,0,0,112,1328,2354
2816,2.2E+14,2.2E+14,0,0,0,2.2E+14,0,0,0,138,1302,2437
1408,1.1E+14,1.1E+14,0,0,0,1.1E+14,0,0,0,79,1052,1814
4592,2.94E+14,2.94E+14,0,1E+14,1.4E+14,2.7E+14,0,4,8,176,748,2260
8452,5.41E+14,5.41E+14,0,2.6E+14,3.9E+14,4.76E+14,0,9,24,328,1079,3004
7238,4.63E+14,4.63E+14,0,1.1E+14,2.3E+14,4.29E+14,0,2,6,279,636,2667
3821,2.45E+14,2.45E+14,0,0,2.2E+14,2.23E+14,0,0,9,161,675,2229
2332,1.49E+14,1.49E+14,0,1E+15,1.8E+14,1.3E+14,0,1,10,111,904,2100
2121,1.36E+14,1.36E+14,0,0,0,1.36E+14,0,0,0,122,855,2114
1291,8.3E+14,8.3E+14,0,0,0,8.3E+14,0,0,0,77,888,1961
1467,9.4E+14,9.4E+14,0,1E+14,2.1E+14,6.3E+14,0,2,8,71,912,1953
1022,6.5E+14,6.5E+14,0,0,0,6.5E+14,0,0,0,63,739,1890
4605,2.95E+14,2.95E+14,0,0,0,2.95E+14,0,0,0,179,1261,2253
178,1.1E+14,1.1E+14,0,0,0,1.1E+14,0,0,0,12,1428,1725
20,1E+15,1E+15,0,0,0,1E+15,0,0,0,6,598,728
18700,1.582E+14,1.582E+14,0,8.7E+14,1.6E+14,6.91E+14,0,67,3,247,1123,3527
27572,2.339E+14,2.339E+14,0,1.472E+14,1.21E+14,7.34E+14,1E+15,116,24,260,1040,4220
15260,8.19E+13,8.19E+13,0,1.8E+14,75,5.57E+14,0,106,17,259,1058,3864
20779,1.841E+14,1.841E+14,0,1.173E+14,6.5E+14,6,0,78,16,208,1138,3662
10695,8.12E+14,8.12E+14,0,7.7E+14,1.8E+14,7.09E+14,1E+15,10,3,246,1181,2834
24136,2.091E+14,2.091E+14,0,1.222E+14,5.4E+14,8.08E+14,0,87,16,318,1019,4039
10910,8.42E+14,8.42E+14,0,2.96E+14,3.9E+14,5.03E+14,0,32,11,212,1185,2947
23014,2.039E+14,2.039E+14,0,1.11E+14,6.3E+14,8.62E+14,0,70,29,359,982,4196
16470,8.07E+14,8.07E+14,0,0,2E+14,8.02E+14,0,90,9,289,1052,3841
28497,2.753E+14,2.753E+14,0,2.192E+14,1.12E+14,4.46E+14,0,128,46,211,1055,4526
10622,8.06E+13,8.06E+13,0,1.47E+14,1.5E+14,6.37E+14,1E+15,18,7,225,1190,2820
2350,1.78E+14,1.78E+14,0,0,0,1.78E+14,0,0,0,58,531,938
